Model,Genre,Score,PromptedScore
bert-base-uncased,action,0.19118953,0.20210856
bert-base-uncased,action,0.14867799,0.16821545
bert-base-uncased,action,0.15523788,0.19623607
bert-base-uncased,action,0.15411401,0.16728792
bert-base-uncased,action,0.23557073,0.24708049
bert-base-uncased,action,0.19592044,0.20811944
bert-base-uncased,action,0.17538655,0.1956242
bert-base-uncased,action,0.21432342,0.22700942
bert-base-uncased,action,0.18868485,0.1979228
bert-base-uncased,action,0.2067977,0.221743
bert-base-uncased,romance,-0.035840835,-0.028407887
bert-base-uncased,romance,-0.052667692,-0.042373672
bert-base-uncased,romance,-0.057952818,-0.04652727
bert-base-uncased,romance,-0.08842886,-0.0766916
bert-base-uncased,romance,-0.024908353,-0.018305195
bert-base-uncased,romance,-0.06851492,-0.057192173
bert-base-uncased,romance,-0.07887461,-0.06585349
bert-base-uncased,romance,-0.060470905,-0.053215332
bert-base-uncased,romance,-0.07980592,-0.07136132
bert-base-uncased,romance,-0.0802363,-0.07232276
bert-base-uncased,thriller,-0.08892122,-0.08667968
bert-base-uncased,thriller,-0.14845867,-0.1403009
bert-base-uncased,thriller,-0.108217634,-0.10494204
bert-base-uncased,thriller,-0.1111209,-0.103759885
bert-base-uncased,thriller,-0.112274446,-0.10972105
bert-base-uncased,thriller,-0.1447665,-0.13834418
bert-base-uncased,thriller,-0.10850155,-0.106033966
bert-base-uncased,thriller,-0.096764885,-0.09229314
bert-base-uncased,thriller,-0.144505,-0.13565497
bert-base-uncased,thriller,-0.109473534,-0.106907144
roberta-base,action,0.051121738,0.05191602
roberta-base,action,0.03702199,0.03980209
roberta-base,action,0.12272369,0.10564714
roberta-base,action,0.05027909,0.051077582
roberta-base,action,0.02705748,0.032296766
roberta-base,action,0.13622281,0.12779617
roberta-base,action,0.17296976,0.1555192
roberta-base,action,0.13025028,0.120564006
roberta-base,action,0.06724024,0.06663869
roberta-base,action,0.06579192,0.06485888
roberta-base,romance,-0.14377087,-0.14350477
roberta-base,romance,-0.17199257,-0.16803719
roberta-base,romance,-0.16248754,-0.1596562
roberta-base,romance,-0.14865851,-0.14793168
roberta-base,romance,-0.15938726,-0.15709855
roberta-base,romance,-0.12421014,-0.12627271
roberta-base,romance,-0.20999944,-0.20154713
roberta-base,romance,-0.14171982,-0.14170454
roberta-base,romance,-0.19263285,-0.18857747
roberta-base,romance,-0.114862725,-0.116838485
roberta-base,thriller,0.13761896,0.13910356
roberta-base,thriller,0.14787254,0.15040362
roberta-base,thriller,0.1592035,0.16025731
roberta-base,thriller,0.17051782,0.17201726
roberta-base,thriller,0.17949316,0.17978923
roberta-base,thriller,0.16178666,0.1631826
roberta-base,thriller,0.1542591,0.15517132
roberta-base,thriller,0.17057954,0.1716335
roberta-base,thriller,0.15769207,0.15988351
roberta-base,thriller,0.18117924,0.18144257
xlnet-base-cased,action,-3.966068,-3.9665654
xlnet-base-cased,action,-3.4998062,-3.5580192
xlnet-base-cased,action,-3.7273562,-3.7932973
xlnet-base-cased,action,-3.9843996,-3.9832728
xlnet-base-cased,action,-3.9976606,-3.9934142
xlnet-base-cased,action,-3.9412167,-3.9445271
xlnet-base-cased,action,-3.8364918,-3.8572376
xlnet-base-cased,action,-3.8836393,-3.8956518
xlnet-base-cased,action,-3.934671,-3.9375355
xlnet-base-cased,action,-4.2123876,-4.1764083
xlnet-base-cased,romance,-3.1100967,-3.099944
xlnet-base-cased,romance,-3.0235152,-3.0236847
xlnet-base-cased,romance,-3.050931,-3.0474014
xlnet-base-cased,romance,-3.0102222,-3.0117114
xlnet-base-cased,romance,-2.980846,-2.9864838
xlnet-base-cased,romance,-2.9079442,-2.921858
xlnet-base-cased,romance,-3.1237125,-3.1115036
xlnet-base-cased,romance,-3.1329865,-3.123973
xlnet-base-cased,romance,-3.0079412,-3.0092812
xlnet-base-cased,romance,-3.1362638,-3.128009
xlnet-base-cased,thriller,-3.7014337,-3.6994944
xlnet-base-cased,thriller,-3.6930673,-3.6894703
xlnet-base-cased,thriller,-3.436654,-3.4429593
xlnet-base-cased,thriller,-3.4746432,-3.4857192
xlnet-base-cased,thriller,-3.5530188,-3.554912
xlnet-base-cased,thriller,-3.6278462,-3.6279848
xlnet-base-cased,thriller,-3.6121547,-3.6126099
xlnet-base-cased,thriller,-3.5836887,-3.5860457
xlnet-base-cased,thriller,-3.6653745,-3.663146
xlnet-base-cased,thriller,-3.686443,-3.685045
t5-small,action,0.049977,0.0631629
t5-small,action,0.07012926,0.08489695
t5-small,action,0.0941362,0.11997708
t5-small,action,0.071493275,0.08168762
t5-small,action,0.101995386,0.116148934
t5-small,action,0.09284374,0.103492506
t5-small,action,0.08597414,0.10193929
t5-small,action,0.07682391,0.09229289
t5-small,action,0.039361313,0.05111021
t5-small,action,0.14594182,0.15247999
t5-small,romance,0.20915884,0.21670775
t5-small,romance,0.1881844,0.19914356
t5-small,romance,0.22154032,0.2284362
t5-small,romance,0.18307278,0.19220513
t5-small,romance,0.1729219,0.18569729
t5-small,romance,0.17246288,0.1843804
t5-small,romance,0.12769553,0.14558126
t5-small,romance,0.21175799,0.21682565
t5-small,romance,0.16962692,0.177797
t5-small,romance,0.13784057,0.14782053
t5-small,thriller,-0.32559165,-0.32178515
t5-small,thriller,-0.2974634,-0.29108024
t5-small,thriller,-0.29510075,-0.29159212
t5-small,thriller,-0.30654562,-0.29806972
t5-small,thriller,-0.3228223,-0.31951848
t5-small,thriller,-0.33420393,-0.32732686
t5-small,thriller,-0.3276081,-0.3241795
t5-small,thriller,-0.30526656,-0.29935494
t5-small,thriller,-0.35455227,-0.34374467
t5-small,thriller,-0.293458,-0.29078406
albert-base-v2,action,-0.26580104,-0.24831708
albert-base-v2,action,-0.22498152,-0.20714074
albert-base-v2,action,-0.15237056,-0.13293822
albert-base-v2,action,-0.2784015,-0.2613385
albert-base-v2,action,-0.17395754,-0.1588791
albert-base-v2,action,-0.26517105,-0.24487434
albert-base-v2,action,-0.2618468,-0.23394276
albert-base-v2,action,-0.26454297,-0.23932767
albert-base-v2,action,-0.27722314,-0.2618519
albert-base-v2,action,-0.23374961,-0.21087216
albert-base-v2,romance,0.11467031,0.12478779
albert-base-v2,romance,0.07517862,0.09134469
albert-base-v2,romance,0.052660584,0.072525024
albert-base-v2,romance,0.030850446,0.048075687
albert-base-v2,romance,0.0929017,0.10658833
albert-base-v2,romance,0.0912371,0.10414427
albert-base-v2,romance,0.042575955,0.061968766
albert-base-v2,romance,0.11830105,0.12508078
albert-base-v2,romance,0.06959869,0.079920836
albert-base-v2,romance,0.086652085,0.09502285
albert-base-v2,thriller,-0.17388403,-0.17034
albert-base-v2,thriller,-0.1518699,-0.14568554
albert-base-v2,thriller,-0.135178,-0.13224629
albert-base-v2,thriller,-0.12690593,-0.12108857
albert-base-v2,thriller,-0.14692785,-0.144445
albert-base-v2,thriller,-0.18900838,-0.18227346
albert-base-v2,thriller,-0.14814807,-0.14562938
albert-base-v2,thriller,-0.1710298,-0.16472235
albert-base-v2,thriller,-0.17458041,-0.16621277
albert-base-v2,thriller,-0.19030291,-0.18664908
