Model,Action_Score,Romance_Score,Thriller_Score
bert-base-uncased,0.18825592,-0.06431729,-0.11416924
bert-base-cased,-0.014822054,0.22913459,-0.24811955
roberta-base,0.055248357,-0.19221295,0.11987918
gpt2,-0.88915974,-0.8826492,0.8945391
gpt2-medium,0.6357243,-0.80575037,0.72424453
xlnet-base-cased,-0.15417647,0.1468171,-0.02132024
albert-base-v2,-0.114646584,0.14561488,-0.07606181
distilbert-base-uncased,0.1158604,0.08697143,-0.18819211
distilbert-base-cased,0.1930672,0.045182917,-0.23972207
t5-small,0.08636108,0.18825912,-0.27628157
t5-base,0.07314057,0.06357889,-0.12933907
google/electra-small-discriminator,-0.32698292,0.37106583,-0.11791928
google/electra-base-discriminator,0.47093016,-0.49049643,0.037513744
microsoft/deberta-base,-0.060900953,-0.0841595,0.103097126
facebook/bart-base,0.14394334,0.07040074,-0.17999497
