Model,Action_Score,Romance_Score,Thriller_Score
bert-large-uncased,0.16699256,-0.06761401,-0.071755245
bert-large-cased,-0.11724325,0.1616456,-0.08348681
roberta-large,0.054816008,-0.028485652,-0.019228633
gpt2-large,0.019561412,-0.0051643224,-0.011125443
xlnet-large-cased,-0.2754174,-0.3020761,0.33586368
albert-large-v2,-0.40991312,0.34962007,-0.013283682
t5-large,-0.03504522,0.098449424,-0.07704574
google/electra-large-discriminator,0.011324121,-0.02931709,0.009011382
microsoft/deberta-large,-0.02027086,0.05365637,-0.02465588
facebook/bart-large,-0.052061222,0.19204932,-0.13036765
